OBJECTID,Tract_N,SPA,Detailed_1,CD,Detailed_N,SD,Tract_1,Year_1,totUnshe_1,totShelt_1,totPeopl_1,u_dens,s_dens,t_dens,unincorpor,Shape__Area,Shape__Length
313,137504,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,137504,2019,0,0,0,0,0,0,No,41309615.3359375,32877.6278850395
314,138000,2,Woodland Hills-Warner Center NC,3,Woodland Hills-Warner Center NC,3,138000,2019,2,0,2,1.158265,0,1.158265,No,48147400.2324219,31252.3206005883
315,139001,2,Encino NC,5,Encino NC,3,139001,2019,3.119,0,3.119,6.516125,0,6.516125,No,13344365.8681641,17735.3034042678
316,139200,2,Encino NC,5,Encino NC,3,139200,2019,0,0,0,0,0,0,No,12399649.4296875,14016.7430269173
317,139301,2,Tarzana NC,3,Tarzana NC,3,139301,2019,4.315,0,4.315,3.900146,0,3.900146,No,30843322.5390625,26907.916529853
318,139302,2,Tarzana NC,3,Tarzana NC,3,139302,2019,10.448,0,10.448,79.993574,0,79.993574,No,3641242.86523438,7960.27358574781
319,139303,2,Tarzana NC,3,Tarzana NC,3,139303,2019,1.694,0,1.694,10.558617,0,10.558617,No,4472463.51464844,9039.82788213507
320,139401,2,Tarzana NC,3,Tarzana NC,3,139401,2019,9.696,0,9.696,27.681058,0,27.681058,No,9765078.25390625,12733.6578088109
321,139402,2,Tarzana NC,3,Tarzana NC,3,139402,2019,0,0,0,0,0,0,No,26304498.4257813,28597.9574148944
322,139502,2,Encino NC,5,Encino NC,3,139502,2019,3.119,0,3.119,7.711865,0,7.711865,No,11275128.1601563,16959.4108016552
323,139503,2,Encino NC,5,Encino NC,3,139503,2019,0,0,0,0,0,0,No,3785818.22558594,8106.44501631677
324,139504,2,Encino NC,5,Encino NC,3,139504,2019,11.264,0,11.264,100.928578,0,100.928578,No,3110896.43457031,8101.67972045284
