OBJECTID,Tract_N,SPA,SD,CD,totUnshelt,totShelt,totPeople,Shape__Area,Shape__Length,GlobalID
461,222200,6,2,8,3.449,0,3.449,482756.040161133,3213.46945875043,11a073e4-c6f2-4af2-a897-b0b9cb220039
462,222600,6,2,8,1,0,1,653094.157653809,3229.53612288232,87f90092-5afe-4028-9c47-e2bb80f3d9db
463,222700,6,2,9,1.676,0,1.676,818018.675109863,4142.33200275645,2a808f90-826b-4f6f-8a95-332ea35382b2
464,224010,4,1,14,71.527,0,71.527,842474.891967773,4227.93580087818,c29d170a-650d-43f3-a461-2ff5cd80b120
465,224020,4,1,9,75.179,0,75.179,1227132.85198975,4632.50430550975,20c55656-e5d2-4922-b4ab-a12e30b95fd8
466,224310,4,1,1,5.507,0,5.507,176276.773010254,2051.87892483578,5f66c70e-5f45-44b0-aae9-c6979a6c149c
467,224320,4,1,1,13.28,0,13.28,291207.143920898,2574.75118315384,01a07ef7-9c91-4e4a-8f4f-312c3951f8de
468,224410,6,1,1,17.787,0,17.787,453413.623413086,3213.8981954419,bdd11e01-bf8b-4b89-b797-9483516c4007
469,224600,6,1,9,102.031,0,102.031,719079.792541504,3416.67805333236,6c070c67-5ca3-41d2-98d2-2147a34fbdb6
470,224700,6,1,9,3.831,0,3.831,632763.83026123,3278.08689178469,4d16b4e9-fec6-49cd-bf59-aeb800386f8f
471,226001,4,2,9,123.999,0,123.999,1053738.30926514,5763.42258037681,2c2eca58-4ad3-48b3-bcb0-9e8c05279e06
472,226002,4,2,14,570.759,0,570.759,2562896.9776001,6519.01131396138,e5b4420e-88e4-40c0-a5ed-33d2af28f895
473,226420,6,2,9,8.981,0,8.981,427993.515014648,2677.46647636246,5d1445e2-d5ed-4869-9d56-4cc2bca09041
474,226700,6,2,9,14.899,0,14.899,785737.498718262,3694.79123651848,8912877f-4fb2-4c1e-9ddd-58ab25f5223b
475,227010,6,2,9,18.941,0,18.941,575032.066101074,3879.41381008034,171f60f8-34c6-4f2a-8683-dc436828e56e
476,228100,6,2,9,54.318,0,54.318,1003642.23187256,5123.98096222071,130caa6c-5c2a-4946-a60f-2c37bf4d00be
477,228210,6,2,9,10.763,0,10.763,411847.088256836,2802.16084342602,bc9e1879-9cb3-4d00-b15a-ebb78bb0b417
478,228310,6,2,9,6.493,0,6.493,544333.885620117,3336.07085336294,16d8f3d3-496e-4605-b82c-df2a09c85713
479,228320,6,2,9,22.631,0,22.631,339253.967224121,3034.68087121683,7f03a848-e971-48b0-ad83-ddbf4eb0ad1e
480,228410,6,2,9,13.377,0,13.377,277639.448425293,2168.29283946548,0358ce23-f5bb-4975-87dd-e8737216847b
481,228420,6,2,9,8.555,0,8.555,288434.607971191,2582.09974822351,0ff783ee-5d6a-493c-88cf-f25b62889aa1
482,228600,6,2,9,30.304,10,40.304,528505.930664063,2923.97667785886,303a381b-a8d3-466c-990d-fbd2433c3037
483,228710,6,2,9,34.951,0,34.951,405563.611083984,2824.20543253966,15b26fcb-f81c-4198-b41e-f628803fc904
484,228720,6,2,9,28.082,0,28.082,405401.633728027,2820.45625127987,a774aac9-53e2-410c-9aed-b44a9ed8bc8f
485,228800,6,2,9,52.049,0,52.049,845913.684631348,3771.08904297378,fa8219ce-67d7-4ef8-841a-1ff7e8964238
486,229100,6,2,9,22.975,0,22.975,475741.861572266,2791.65245704404,e1b50f34-f71c-4287-bed5-35e0b76b7aac
487,229200,6,2,9,16.96,19,35.96,445525.623168945,2720.9835448906,5f202f47-564d-4b1e-8182-58b75c3cd56d
488,229300,6,2,9,32.878,0,32.878,503936.350952148,2912.19328749038,5fa6dcdf-4a5e-45fe-9c19-39ef13ecc44d
489,229420,6,2,9,12.541,0,12.541,585764.451538086,3066.39284265728,dd07ba59-471d-430f-baf4-3707b16fcca4
490,231100,6,2,9,137.471,282,419.471,895986.810852051,3941.5322197411,119adbf7-10ea-48a2-8cbb-e2e7f6954b75
491,231210,6,2,8,5.29,0,5.29,321068.924865723,2416.2301325341,43a2d8eb-412c-4d23-a3b8-e725fb7e5297
492,231220,6,2,9,9.676,0,9.676,968539.391174316,4019.24152341977,3d6770ad-82e4-494d-ad3e-c87120d8bb11
493,231400,6,2,8,17.154,0,17.154,622100.982727051,3157.90573970354,855ab1d9-4239-43cb-965c-2f7230d13c9c
494,231500,6,2,8,0,0,0,920333.192321777,3904.30855129219,d1c05d5f-c763-4478-8334-4c1cb13248a8
495,231710,6,2,9,50.378,0,50.378,324341.988647461,2422.88801526576,21830a08-92ae-4911-92a5-205cab1d4ee7
496,231720,6,2,9,110.477,0,110.477,472648.991943359,2782.69906134251,dcdfd202-310d-4b34-952d-c76801eb5b33
497,231800,6,2,9,23.443,0,23.443,521320.344848633,2908.50344588566,ed0f7234-9b06-4422-8e6b-1b0dfc796462
498,232110,6,2,9,9.188,0,9.188,380649.211975098,2681.03893716072,a041f55b-319c-4443-82e4-28dc5ab517da
499,232120,6,2,9,65.575,0,65.575,523307.100280762,2968.5542402814,250a1494-66cd-46c6-a757-f8b8d6241c77
500,232200,6,2,9,16.348,8,24.348,523947.54119873,3315.97193872787,96b5a008-2f41-4748-84ba-bc22444ff6ac
501,232300,6,2,9,90.322,2,92.322,629966.75213623,3523.28696936177,fc557281-0361-46bf-8581-696f31bbb939
502,232500,6,2,8,68.513,103,171.513,766519.279602051,3643.32514991814,e148a0a9-f251-4aac-b669-e83eeb0be633
503,232600,6,2,9,62.931,0,62.931,799608.566589355,3740.33374243915,1cd59748-d450-47cd-8478-1f895aedbfe7
504,121222,2,3,6,18.367,0,18.367,1348343.29400635,5565.02515746094,22ac5cd8-0235-46f1-ba6e-5f17049ac31c
505,121600,2,3,2,20.619,0,20.619,1141827.32427979,4985.25800073189,5654ade4-0608-4aff-8ae3-28b2caafaa4a
506,121802,2,3,6,53.754,1280,1333.754,946032.177978516,4501.98530996593,ee38a152-615d-4c75-9624-f11b5656942f
507,121900,2,3,6,40.372,0,40.372,1666783.9440918,6113.19035957765,334a2d2d-753d-4a1e-8810-b7dd9fcab249
508,122000,2,3,2,121.794,0,121.794,3240171.44683838,9276.10868681075,9fd76998-35d1-458f-97c4-f102395aca06
509,122121,2,3,2,8.237,0,8.237,412604.050964355,3619.83511272326,e4909fa2-4a82-48c8-96a8-7418fe1037d9
510,122122,2,3,6,83.055,32,115.055,1061179.5223999,4655.81711189526,33e9a0c6-606b-424f-8a97-fc10c44a3a49
511,122200,2,5,2,16.261,0,16.261,1708188.30310059,5921.28525700168,2c0f4bd9-021d-4048-94e0-909d743951da
512,122420,2,3,2,6.256,0,6.256,864048.204406738,3778.73107570002,3f9f8484-8c30-424d-809e-52709de3beff
