FID,Tract,SPA,SD,CD,totUnshelt,totSheltPe,totPeople,Shape__Area,Shape__Length,OBJECTID,Tract_N,SPA,SD,CD,totUnshelt,totShelt,totPeople,Shape__Area,Shape__Length,GlobalID,OBJECTID,Tract_N,SPA,Detailed_1,CD,Detailed_N,SD,Tract_1,Year_1,totUnshe_1,totShelt_1,totPeopl_1,u_dens,s_dens,t_dens,unincorpor,Shape__Area,Shape__Length
27,104310,2,3,7,5.781000000000001,0,5.781000000000001,2214855.078125,7054.24648399188,24,115101,2,3,12,9.449,0,9.449,3885517.04742432,8050.0163259479195,066e9431-50e5-4f34-9667-a4793e8997c0,23,104310,2,Pacoima NC,7,Pacoima NC,3,104310,2019,78.15899999999999,0,78.15899999999999,134.193937,0.0,134.193937,No,16238255.1220703,19109.7807057377
28,104320,2,3,7,2.591,0,2.591,1779471.45703125,5394.83669459881,25,115202,2,3,12,32.218,31,63.218,1726379.51599121,5708.77505366025,2d5cc828-009b-4ae3-ba0d-8160fcac0dfd,24,104320,2,Pacoima NC,7,Pacoima NC,3,104320,2019,3.388,123,126.39,7.239656,262.832836,270.07676499999997,No,13046508.4091797,14607.6223409758
29,104401,2,3,7,1.926,0,1.926,999745.44921875,4589.25134630639,26,115401,2,3,12,0.0,0,0.0,1908287.6619873,6233.266847359891,6a09be97-68e0-44d2-b85d-52b2ebad424a,25,104401,2,Pacoima NC,7,Pacoima NC,3,104401,2019,18.56,0,18.56,70.58149,0.0,70.58149,No,7331091.60839844,12432.0711815895
30,104403,2,3,7,20.465,0,20.465,1022519.87890625,5936.21618063527,27,117102,2,3,7,5.492999999999999,0,5.492999999999999,1031594.36547852,4183.0213378240005,7fee8883-540d-4c65-9f0a-30837ed5ef59,26,104403,2,Pacoima NC,7,Pacoima NC,3,104403,2019,14.474,0,14.474,53.806373,0.0,53.806373,No,7499261.046875,16071.8479612546
31,104404,2,3,7,13.795,0,13.795,791998.21484375,4037.7616890570794,28,117303,2,3,12,0.0,0,0.0,1797382.93591309,5513.418467556,e8f9b79f-e290-48ba-a273-4dc29e82438e,27,104404,2,Pacoima NC,7,Pacoima NC,3,104404,2019,6.976,0,6.976,33.485136,0.0,33.485136,No,5807847.70214844,10935.4139517724
32,104500,2,3,7,1.926,21,22.926,779197.6875,4173.33528534315,29,117405,2,3,7,4.144,0,4.144,202271.399475098,1812.88415866177,41a14b0b-da60-42c8-aab6-4d4801c1aa93,28,104500,2,Pacoima NC,7,Pacoima NC,3,104500,2019,12.882,0,12.882,62.837469999999996,0.0,62.837469999999996,No,5715280.26367188,11300.2083034998
33,104610,2,3,7,3.095,0,3.095,869006.79296875,4283.90744110029,30,117510,2,3,7,29.377,15,44.376999999999995,334898.53735351603,2491.74195559394,52265761-86b5-4f9e-9132-cb7b67fb7dd7,29,104610,2,Pacoima NC,7,Pacoima NC,3,104610,2019,10.462,57,67.462,45.764243,249.33682599999997,295.10107,No,6372936.44628906,11599.4207951725
34,104620,2,3,7,19.28,0,19.28,779486.5859375,4173.36868580479,31,119201,2,3,6,18.077,0,18.077,954331.40045166,3949.3918423596206,424723bf-c8a2-4c22-9a0a-576f32c92d87,30,104620,2,Pacoima NC,7,Pacoima NC,3,104620,2019,6.891,0,6.891,33.603209,0.0,33.603209,No,5716590.43066406,11300.4319820728
35,104701,2,3,7,1.808,0,1.808,808054.89453125,4097.8409480010905,32,119320,2,3,6,2.628,0,2.628,494784.52331543,2852.3210011395504,33a120bc-ec3a-43fe-974a-30852e42e34f,31,104701,2,Pacoima NC,7,Pacoima NC,3,104701,2019,16.778,0,16.778,78.943484,0.0,78.943484,No,5925000.69824219,11097.9986956916
36,104703,2,3,7,61.68899999999999,0,61.68899999999999,1716634.24609375,5673.51162950635,33,119341,2,3,6,13.831,0,13.831,326867.231201172,2550.1222395086497,f0b4f278-3bfa-4828-a733-0bd335c68efd,32,104703,2,Pacoima NC,7,Pacoima NC,3,104703,2019,91.676,0,91.676,202.983933,0.0,202.983933,No,12591124.759765599,15369.2728928062
37,104704,2,3,7,9.0,0,9.0,2440198.9375,6267.323969236761,34,119800,2,3,6,24.189,0,24.189,1243996.97381592,4556.68836327949,bd21b21c-5c47-4287-868c-d986741a93e9,33,104704,2,Pacoima NC,7,Pacoima NC,3,104704,2019,6.776,16,22.776,10.556108,24.925875,35.481982,No,17895362.8623047,16972.082298815
38,104810,2,3,7,0.0,0,0.0,1648219.4296875,5258.80535704962,35,120106,2,3,6,7.0329999999999995,0,7.0329999999999995,203518.65344238302,1850.9689931853602,e2bcf5b9-6466-4bf1-b72b-45fdf104ba44,34,104810,2,Pacoima NC,7,Pacoima NC,3,104810,2019,17.692999999999998,0,17.692999999999998,40.795807,0.0,40.795807,No,12090970.0078125,14242.6486219764
39,104821,2,3,7,2.926,0,2.926,780206.05078125,4173.47143956813,36,120107,2,3,6,15.029000000000002,0,15.029000000000002,207201.203918457,1853.2351582981303,fb07b53e-46de-4546-8290-4c589b4ae80b,35,104821,2,Pacoima NC,7,Pacoima NC,3,104821,2019,9.731,0,9.731,47.395752,0.0,47.395752,No,5723987.19335938,11301.7597297613
40,104822,2,3,7,25.738000000000003,0,25.738000000000003,893010.16796875,5103.557527630271,37,101210,2,5,7,22.285,0,22.285,649087.213500977,3674.53630074575,f7e29a64-f28f-4112-8cdc-25d8b0757316,36,104822,2,Pacoima NC,7,Pacoima NC,3,104822,2019,19.058,0,19.058,81.096731,0.0,81.096731,No,6551138.390625,13820.793959968201
41,106010,2,5,7,0.0,0,0.0,3705415.140625,8856.33344949611,38,102103,2,5,2,1.831,0,1.831,1187496.50976563,4941.68579055753,5e112a93-e0db-4653-bc9b-3162a549401f,37,106010,2,Sylmar NC,7,Sylmar NC,5,106010,2019,12.248,0,12.248,12.584442,0.0,12.584442,No,27151747.0830078,23986.179646121098
42,106020,2,3,7,43.391999999999996,0,43.391999999999996,2965936.890625,8581.936635066479,39,211922,4,2,10,1.6280000000000001,0,1.6280000000000001,93052.5503540039,1267.72819806353,ecbafa24-dc94-491f-8324-c1aeab731fa5,38,106020,2,Sylmar NC,7,Sylmar NC,3,106020,2019,40.104,0,40.104,51.474281,0.0,51.474281,No,21763786.375976603,22707.721538089198
